id,type,tags,lat,lon,amenity_type
5489488477,node,"{'amenity': 'baby_hatch', 'operator': 'Moeders voor Moeders vzw', 'website': 'https://www.vondelingenluik.be'}",51.2178356,4.4348341,baby_hatch
5489488477,node,"{'amenity': 'baby_hatch', 'operator': 'Moeders voor Moeders vzw', 'website': 'https://www.vondelingenluik.be'}",51.2178356,4.4348341,baby_hatch
9587905560,node,"{'addr:city': 'Antwerpen', 'addr:housenumber': '14', 'addr:postcode': '2018', 'addr:street': 'Kielsevest', 'amenity': 'clinic', 'check_date': '2024-09-21', 'healthcare': 'clinic', 'healthcare:speciality': 'orthopaedics', 'name': 'Orthoca'}",51.1977928,4.3944607,clinic
8529230495,node,"{'amenity': 'clinic', 'email': 'hoboken@gvhv.be', 'healthcare': 'clinic', 'name': 'Geneeskunde voor het Volk', 'name:fr': 'Medicine pour le peuple', 'phone': '+32 3 828 02 43', 'website': 'http://www.gvhv-mplp.be/index.php/nl/groepspraktijken/onze-groepspraktijken/gvhv-hoboken'}",51.1828192,4.3511465,clinic
7315573548,node,"{'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'De Ronne, Waegemans, Shahabi'}",51.2095137,4.3998164,dentist
7850230585,node,"{'addr:city': 'Deurne', 'addr:housenumber': '2A', 'addr:postcode': '2100', 'addr:street': 'Oude Bosuilbaan', 'amenity': 'dentist', 'contact:phone': '+32 3 324 75 42', 'electricity': 'grid', 'healthcare': 'dentist', 'name': 'Tandartspraktijk Bosuil', 'opening_hours': 'Mo-Su 00:00-23:55', 'operational_status': 'operational', 'url': 'https://www.tandartspraktijkbosuil.be/'}",51.2319889,4.4675678,dentist
7302181586,node,"{'addr:city': 'Deurne', 'addr:housenumber': '106', 'addr:postcode': '2100', 'addr:street': 'Lanteernhofstraat', 'amenity': 'doctors', 'contact:phone': '+32 3 293 25 50', 'contact:website': 'http://www.degroterivier.be/index.html', 'healthcare': 'doctor', 'healthcare:speciality': 'general', 'name': 'Huisartsenpraktijk De Grote Rivier'}",51.1954818,4.456668,doctors
4575433690,node,"{'addr:housenumber': '30', 'addr:postcode': '2140', 'addr:street': 'Dokter Van de Perrelei', 'amenity': 'doctors', 'email': 'info@lamadrugada.be', 'healthcare': 'midwife', 'name': 'La madrugada', 'name:nl': 'La madrugada', 'phone': '+32 497 33 33 45', 'website': 'https://lamadrugada.be/'}",51.2098152,4.4482074,doctors
10660224,way,"{'amenity': 'hospital', 'check_date': '2025-03-20', 'healthcare': 'hospital', 'name': 'ZNA Sint-Erasmus', 'operator': 'Ziekenhuis Netwerk Antwerpen', 'operator:short': 'ZNA', 'operator:wikidata': 'Q14526992', 'operator:wikipedia': 'nl:Ziekenhuis Netwerk Antwerpen', 'phone': '+32 3 270 80 11', 'website': 'https://www.zna.be/nl/zna-sint-erasmus'}",,,hospital
507879117,way,"{'addr:city': 'Antwerpen', 'addr:housenumber': '96', 'addr:postcode': '2050', 'addr:street': 'Beatrijslaan', 'amenity': 'hospital', 'healthcare': 'hospital', 'healthcare:speciality': 'forensic_psychiatry', 'name': 'FPC Antwerpen', 'operator:kbo_bce': '0555.926.992', 'operator:name': 'Forensisch Psychiatrische Centra'}",,,hospital
3498668,relation,"{'addr:housenumber': '9-11', 'addr:street': 'Borsbeekstraat', 'amenity': 'nursing_home', 'building': 'yes', 'name': 'Borsbeekhof', 'opening_hours': 'Mo-Su 00:00-24:00', 'type': 'multipolygon', 'website': 'https://www.borsbeekhof.be/'}",,,nursing_home
3498668,relation,"{'addr:housenumber': '9-11', 'addr:street': 'Borsbeekstraat', 'amenity': 'nursing_home', 'building': 'yes', 'name': 'Borsbeekhof', 'opening_hours': 'Mo-Su 00:00-24:00', 'type': 'multipolygon', 'website': 'https://www.borsbeekhof.be/'}",,,nursing_home
1911856577,node,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Apotheker'}",51.1809881,4.3684041,pharmacy
4827275963,node,"{'addr:housenumber': '90', 'addr:street': 'Prinshoeveweg', 'amenity': 'pharmacy', 'dispensing': 'yes', 'drive_through': 'no', 'healthcare': 'pharmacy'}",51.2796017,4.4476209,pharmacy
6693229570,node,"{'amenity': 'veterinary', 'name': 'Dierenarts praktijk', 'website': 'https://sintjan.be'}",51.2262093,4.4174961,veterinary
11113196799,node,"{'addr:housenumber': '180', 'addr:street': 'Ringlaan', 'amenity': 'veterinary', 'email': 'info@dierenartssinjan.be', 'name': 'Dierenartsenpraktijk Sinjan', 'phone': '+32 3 646 01 19', 'reservation': 'required', 'website': 'https://www.dierenartssinjan.be/'}",51.2543585,4.4495427,veterinary
